,d00t25,d00t35,d00t45,d00t55,d01t25,d01t35,d01t45,d01t55,d02t25,d02t35,d02t45,d02t55,d12t25,d12t35,d12t45,d12t55
d00t25,,,,,,,,,,,,,,,,
d00t35,,,,,,,,,,,,,,,,
d00t45,,,,,Experiment,,,,,,,,,,,
d00t55,,,,,d01t25,d01t35,d01t45,d01t55,d02t25,d02t35,d02t45,d02t55,d12t25,d12t35,d12t45,d12t55
d01t25,,,FEM,d01t25,4.966,5.860,5.709,4.716,16.006,14.542,19.252,13.534,5.955,12.577,8.658,8.941
d01t35,,,,d01t35,4.889,5.617,5.474,4.842,16.753,15.213,20.172,14.151,5.830,11.982,8.270,8.567
d01t45,,,,d01t45,4.859,5.472,5.335,4.950,17.289,15.697,20.827,14.599,5.766,11.594,8.025,8.333
d01t55,,,,d01t55,5.180,6.354,6.189,4.588,14.833,13.495,17.787,12.577,6.251,13.665,9.396,9.655
d02t25,,,,d02t25,17.220,22.035,21.960,12.564,4.367,4.727,3.910,5.168,18.087,34.673,26.720,26.620
d02t35,,,,d02t35,15.499,19.997,19.942,11.233,4.159,4.376,4.036,4.717,16.259,31.938,24.389,24.316
d02t45,,,,d02t45,16.698,21.419,21.351,12.157,4.291,4.609,3.933,5.020,17.534,33.852,26.018,25.926
d02t55,,,,d02t55,18.999,24.116,24.023,13.969,4.694,5.191,3.917,5.726,19.968,37.423,29.082,28.956
d12t25,,,,d12t25,4.181,4.490,4.452,4.771,16.780,15.040,20.772,13.938,4.568,9.159,6.247,6.547
d12t35,,,,d12t35,5.524,4.588,4.617,7.636,24.233,21.928,29.527,20.432,5.531,6.589,5.242,5.648
d12t45,,,,d12t45,4.582,4.276,4.271,5.926,20.202,18.183,24.838,16.886,4.782,7.627,5.488,5.841
d12t55,,,,d12t55,4.385,4.292,4.276,5.466,18.954,17.032,23.366,15.803,4.649,8.101,5.694,6.028
