,d00t25,d00t35,d00t45,d00t55,d01t25,d01t35,d01t45,d01t55,d02t25,d02t35,d02t45,d02t55,d12t25,d12t35,d12t45,d12t55
d00t25,,,,,,,,,,,,,,,,
d00t35,,,,,,,,,,,,,,,,
d00t45,,,,,,,,,,,,,,,,
d00t55,,,,,,,,,,,,,,,,
d01t25,,,,,0,0.0186878639145633,0.053286485908156,0.053084267540453,12.5653355918373,11.0564841401329,12.1064138974819,14.141604974911,0.515403562210575,2.61038075063486,1.28877526968174,0.961786970283281
d01t35,,,,,0.0186878639145633,0,0.00886171759605882,0.134764962226314,13.4439306600824,11.8637535940766,12.963968218654,15.0885961588268,0.397361621561094,2.2123607590474,1.03233172091733,0.753455710991133
d01t45,,,,,0.053286485908156,0.00886171759605882,0,0.212741207042185,14.0701754143662,12.4408773838982,13.5757225800353,15.7619452093556,0.33768425693069,1.95988182335969,0.877346679890237,0.631602220898805
d01t55,,,,,0.053084267540453,0.134764962226314,0.212741207042185,0,11.1698225736778,9.78119160206936,10.7463654822797,12.6308089579703,0.799163815424352,3.36602682993588,1.80580297353452,1.39772436879068
d02t25,,,,,12.5653355918373,13.4439306600824,14.0701754143662,11.1698225736778,0,0.0684367270640237,0.00595718309461749,0.0629215670485901,14.6700160998814,23.142555840726,18.5960409928805,17.172862810284
d02t35,,,,,11.0564841401329,11.8637535940766,12.4408773838982,9.78119160206936,0.0684367270640237,0,0.0340116171835676,0.262599423419988,12.8816530177599,20.819134239557,16.5431826996705,15.2119475288868
d02t45,,,,,12.1064138974819,12.963968218654,13.5757225800353,10.7463654822797,0.00595718309461749,0.0340116171835676,0,0.107598615694531,14.1285030308712,22.4431975100124,17.9765003752453,16.5804458033089
d02t55,,,,,14.141604974911,15.0885961588268,15.7619452093556,12.6308089579703,0.0629215670485901,0.262599423419988,0.107598615694531,0,16.5140186941337,25.4996317649955,20.693670957277,19.1823273947172
d12t25,,,,,0.515403562210575,0.397361621561094,0.33768425693069,0.799163815424352,14.6700160998814,12.8816530177599,14.1285030308712,16.5140186941337,0,1.04909378019053,0.25635911368048,0.109103798892673
d12t35,,,,,2.61038075063486,2.2123607590474,1.95988182335969,3.36602682993588,23.142555840726,20.819134239557,22.4431975100124,25.4996317649955,1.04909378019053,0,0.268255232692899,0.481558867240493
d12t45,,,,,1.28877526968174,1.03233172091733,0.877346679890237,1.80580297353452,18.5960409928805,16.5431826996705,17.9765003752453,20.693670957277,0.25635911368048,0.268255232692899,0,0.0309799369272736
d12t55,,,,,0.961786970283281,0.753455710991133,0.631602220898805,1.39772436879068,17.172862810284,15.2119475288868,16.5804458033089,19.1823273947172,0.109103798892673,0.481558867240493,0.0309799369272736,0
